cytoband	9p21.3	9p23	4q34.3	9q21.11	15q15.1	22q13.32	13q12.11	1p12	19p13.3	21q11.2	1p13.3	11q25	13q34	16q24.1	1p36.11	18q23	18q21.1	2q22.1	8p23.2	10q26.3	5q11.2	6q26	16p13.3	3p12.3	16q23.1	5q35.3	13q14.2	15q11.2	14q32.13	17p13.3	5q31.1	11q12.1	11p15.5	8p21.3	10p15.3	13q31.1	9q34.3	3q11.2	19p12	4p16.3	6q14.3	12p13.2	19p13.2	22q11.21	2q37.2	20p12.1	3p11.1	12q12	11q23.2	11p15.4	17p11.2	9q22.31	
											MAGI3				ATP13A2						TMEM171	KATNBL1P6				FAM196B		TSPAN3	NUDT14		VDAC1	CLP1	RRM1	ADAM32		LOC102723968	GARNL3			MIR4798	ENPP1	NRIP2			STK25		NKTR		C11orf71	TRIM66		TPM2	
											FAM19A3				TARDBP						TMEM174	STXBP5-AS1				LOC100132062		FEM1B	LINC00521		WNT8A	CCDC85B	SAA1	LGI3		LINC01038	NTNG2			HTT-AS	ENPP3	RBP5			NCKAP1		OGG1		ROBO4	NR1H3		TRAF1	
											FAM102B				CELA3B						POC5	TMEM242				LOC100268168		RASGRP1	SERPINA11		XRCC4	PLA2G16	SAA2	LOC254896		LOC103191607	PRRC2B			MIR5091	PEX6	ACRBP			COPS8		OPA1		SLC35F2	TSPAN32		TSC1	
											SYPL2				PADI4						ACOT12	LOC729603				LOC100288254		SERF2	LOC283585		ST8SIA4	PTGDR2	SAA3P	ADAM5		LINC00383	PLPP7			LOC101928279	PEX7	SPSB2			CAPN10		CLDN11		RAB39A	TSSC4		TTF1	
											CYB561D1				TMEM50A						SREK1	PACRG-AS3				MIR1229		DENND4A	LINC01146		REEP5	ZP1	SAA4	LOC286059		LINC00377	ZDHHC12			LOC101928306	PGC	CRACR2A			SP140		OXTR		BTG4	USH1C		TXN	
											PPM1J				KPNA6						SLC38A9	HGC6.3				MIR1271		SNAPC5	FAM181A-AS1		SERF1A	ATG2A	SCT	LOC286114		LINC01068	MIGA2			LOC101929019	PGK2	RERG			IKZF2		P2RY1		NXPE4	HIPK3		UGCG	
											MYBPHL				STX12						TMEM167A	UST-AS1				MIR103B1		HMG20A	SNHG10		NME5	GANAB	SIPA1	SCARA5		LINC01075	FIBCD1			LINC01182	PGM3	PLCZ1			FASTKD2		PAK2		ANKRD49	PRMT3		VAV2	
											SLC6A17				CLIC4						MBLAC2	LOC100129518				MIR4281		CORO2B	C14orf177		ENC1	DTX4	SLC1A2	FAM183CP		LINC00363	CCDC183			LINC01396	PHF1	HTR7P1			PASK		CNTN3		TTC12	MRVI1		VCP	
											C1orf137				SYF2						TMEM161B	C6orf99				MIR3912		CIB2	SLC25A47		AP3B1	NUP160	SLC3A2	RNF5P1		LMO7DN-IT1	SNHG7			STX18-IT1	PIM1	CAPZA3			ATG4B		PCCB		C11orf57	TRIM22		CORO2A	
											FRRS1				SZRD1						MARVELD2	LOC100131532				LINC01187		MTHFS	LINC00523		PDLIM4	FNBP4	SMPD1	POTEA		LINC00375	TMEM141			LOC105374344	PKHD1	CLEC6A			SATB2		PCYT1A		ELMOD1	IFITM3		XPA	
											MIR137HG				LDLRAP1						ARSK	AIRN				LOC100507387		ARID3B	CEP170B		PDE8B	FAM89B	SPI1	LOC389641		LINC00376	ARRDC1-AS1			LOC105374366	PLAGL1	C12orf57			OBSL1		PDHB		FOXRED1	SPON1		ZFP37	
											MIR137				FBXO2						FAM81B	LOC100289495				TRIM52-AS1		GNB5	C14orf80		EIF4EBP3	SNHG1	TRIM21	NUGGC		SCEL-AS1	WDR34				PLN	BORCS5			SF3B1		PFKFB4		KDM4D	EIF3M		ZNF79	
											MIR197				FBXO6						MIER3	MIR1913				MIR4634		ARPP19	CCDC85C		PCDHGB4	POLA2	SSRP1	C8orf86		LINC01052	SAPCD2				POLH	TMEM52B			DNPEP		PFN2		SCN3B	DEAF1		ZNF189	
											FLJ31662				PLA2G2D						CDC20B	MIR1202				MIR4638		CLPX	ITPK1-AS1		CDC23	FLRT1	ST5	MIR320A		LOC105370306	C9orf69				POU3F2	HIST4H4			TMEFF2		SERPINI1		VPS11	IPO7		ZFAND5	
											LOC440600				SNORA73B						PAPD4	MIR1273C				MIR378E		MORF4L1	SERPINA9		ADAM19	MTCH2	STIM1	C8orf58		LINC01040	LRSAM1				POU5F1	ERP27			SH3BP4		SERPINI2		TEX12	HTATIP2		NR4A3	
											LOC440602				RNU11						LIX1	MIR3918				MIR5003		SLC27A2	LINC00524		HDAC3	FJX1	STX3	LINC00589		LINC01047	UAP1L1				PPARD	AEBP2			KCNE4		PIK3CA		CRTAM	IFITM2		BRD3	
											BCL2L15				RNU6-1						ZNF366	MIR3939				HEIH		ADAMTS7	LINC00226		P4HA2	KIAA1549L	STX5	MBOAT4		LINC00374	ARRDC1				PPP1R10	SLC2A14			NGEF		PIK3CB		TMPRSS4	TRIM3		NUP214	
											PGCP1				RNU5E-1						FAM151B	MIR3668				LOC100996385		GPR176	LINC00221		ATG12	PRDX5	ABCC8	MIR486-1		LINC00430	DPH7				PPP2R5D	A2ML1			SNORD82		PLCD1		IFT46	CELF1		GFI1B	
											SPATA42				RNU1-3						S100Z	MIR3692				LOC100996419		CHP1	COX8C		PTTG1	ABTB2	TAF10	SNORD13		LINC01078	TMEM203				PREP	A2M-AS1			MOB4		PLD1		SMCO4	OR5I1		PIP5K1B	
											CYMP				RNU1-2						CCDC125	SYNE1-AS1				HMMR-AS1		OIP5	ASPG		NREP	TEX40	TALDO1	LOC728024		SNORA107	SLC25A25				PRIM2	C12orf60			PNKD		PLOD2		PRDM10	OR7E14P		RECK	
											LOC643355				RNU1-1						LINC01554	KIF25-AS1				LOC101927835		ITGA11	MIR381HG		CNOT8	PAMR1	TCN1	RBPMS-AS1			ZMYND19				PKIB	CLEC12A			SNED1		PLS1		TRIM49	OR7E12P		IKBKAP	
											LOC643441				HSPB7						GAPT	LOC100507477				CTB-178M22.2		BAHD1	SERPINA13P		RAB9BP1	ZDHHC5	TEAD1	LOC100128993			NACC2				MAPK13	CLECL1			SPATS2L		PLSCR1		DSCAML1	LYVE1		CDC14B	
											ACTG1P4				AHDC1						CMYA5	LINC01277				LOC101927908		FAN1	LINC01550		HAND1	ATL3	TH	LOC100130964			C9orf116				PSMB8	CLEC4C			GIGYF2		PLXNA1		GRAMD1B	C11orf58		TMEFF1	
											NBPF6				SMPDL3B						ANKRD31	LOC100507557				LOC101927969		CEP152	RTL1		MED7	TKFC	TSPAN4	MIR548H4			LCN8				PSMB9	ZNF384			TRAF3IP1		PLXNB1		CEP126	KCNQ1OT1		CTNNAL1	
											SCARNA2				LINC00339						SERINC5	CAHM				CTD-2270F17.1		MAPKBP1	TMEM179		HOMER1	DKFZP434K028	TM7SF2	MIR4287			FAM69B				PTK7	DSTNP2			ABCA12		POLR2H		ARHGAP20	PKP3		FBP2	
											MIR553				UBIAD1						LOC257396	MIR4466				LOC101928093		GOLGA8A	SERPINA2		MYOT	B3GAT3	TNNI2	MIR3148			PTRH1				PTPRK	PIANP			HIBCH		POU1F1		USP28	HPS5		DPM2	
											LOC729970				PADI1						KIAA0825	MIR4465				LINC01484		ZNF609	FOXN3-AS1		SCAMP1	FBXO3	TNNT3	MIR4288			PIP5KL1				RGL2	LINC00612			SNORD51		PPARG		CARD18	RRAS2		FUBP3	
											LOC729987				PLA2G2E						GPR150	MIR4644				LINC01485		TBC1D2B	LINC00642		NRG2	EHF	TPH1	MIR3622A			DBH-AS1				PRPH2	TAS2R43			CNPPD1		PPP1R2		AASDHPPT	SWAP70		PRPF4	
											MIR942				SLC45A1						NBPF22P	RAET1E-AS1				LINC01411		RTF1	DICER1-AS1		CXCL14	OR5L2	TRAF6	MIR3622B			ASB6				REV3L	TAS2R31			STK36		PPP2R3A		PKNOX2	DENND5A		KLF4	
											MIR760				HP1BP3						C5orf64	RPS6KA2-AS1				LOC101928445		MESDC2	C14orf180		H2AFY	PPP1R14B	TRPC2	LOC100507071			SLC34A3				TRIM27	TAS2R46			CPS1-IT1		PRKAR2A		TP53AIP1	NUP160		GTF3C5	
											LINC01349				CELA2B						RNF180	SYNJ2-IT1				CTC-338M12.4		CYFIP1	MIR127		SMAD5-AS1	TIMM10	TSG101	LOC100507156			CAMSAP1				RHAG	TAS2R30			ICOS		PRKCD		MMP27	FNBP4		GTF3C4	
											LOC100129046				ZNF593						SREK1IP1	RPS6KA2-IT1				MIR8056		ACSBG1	MIR134		RNF14	BSCL2	PHLDA2	SMIM18			C9orf62				RING1	TAS2R19			GMPPA		PRKCI		ABCG4	RRP8		LHX2	
											LOC100129138				MECR						RGMB	EZR-AS1				MIR8089		KIAA1024	MIR136		CARTPT	ELP4	TUB	LINC01605			C9orf163				BRD2	TAS2R20			SLC40A1		PROS1		ROBO3	SIRT3		PLAA	
											LINC01160				MRTO4						RFESD	LOC101928661				LOC102546299		MGA	MIR154		SNCAIP	PRPF19	SCGB1A1	MIR4469			MAMDC4				RNF5	TAS2R50			SMARCAL1		MASP1		C11orf1	OR52A1		GRHPR	
											LOC100129620				YTHDF2						LOC340090	LOC101929122				CTB-7E3.1		DMXL2	MIR203A		TTC37	MACROD1	VEGFB	MIR548AO			LCN6				ROS1	C1RL-AS1			ANO7		PSMD2		TAF1D	ARFIP2		FAM189A2	
											AP4B1-AS1				ZCCHC17						ANKRD34B	PACRG-AS2				LINC01574		VPS39	MIR299		CLINT1	SLC43A3	BEST1	NRG1-IT1			AK8				RPS10	CD163L1			PRLH		PTH1R		RNF26	MTCH2		TJP2	
											MIR320B1				PADI3						MCIDAS	LOC101929297				LOC102577426		FAM189A1	CCDC88C		PCDHGA8	COMMD9	WEE1	LZTS1-AS1			TTC16				RPS12	RPL13P5			THAP4		PTPRG		FAM118B	FJX1		MED27	
											MIR548N				ERRFI1						ACTBL2	LOC101929420				LOC105377716		TMED3	MIR323A		PCDHA9	PACSIN3	WT1	NRG1-IT3			STKLD1				RPS18	CLEC9A			ANKMY1		PTX3		DYNC2H1	KIAA1549L		PTGES	
											MIR4256				WNT4						FAM174A	LOC101929460				LOC105377763		AP4E1	MIR337		ZFYVE16	SAC3D1	SF1	LOC101929172			QSOX2				RXRB	LINC01559			GULP1		QARS		NLRX1	ABTB2		ATP6V1G1	
											RTCA-AS1				FBXO42						MTX3	LINC01615						CCNDBP1	MIR342		MATR3	SNX15	ZFPL1	LOC101929237			NAIF1				VPS52	LOC283440			SCLY		RAB5A		MSANTD2	PAMR1		GABBR2	
											FAM212B-AS1				RNF186						HCN1	LOC101929504						DAPK2	MIR345		KIAA0141	EFEMP2	ZNF143	LOC101929294			PHYHD1				SRSF3	CLEC4D			NOP58		RAF1		CCDC82	FBXO3		GDA	
											SLC16A1-AS1				GPN2						MAST4	LOC101929523						EID1	MIR376C		JAKMIP2	KCNK4	ZNF195	LOC101929315			HMCN2				SGK1	LINC01252			ASB1		RAP2B		ALG9	SERGEF		GNA14	
											TMEM56-RWDD3				FBLIM1						RNF138P1	MIR7161						NPAP1	MIR369		PJA2	UBXN1	ZNF214	EXTL3-AS1			LINC00094				SIM1	ACSM4			CAB39		RARB		CLMP	EHF		RALGPS1	
											MIR378G				MED18						RGS7BP	MIR7641-2						HYPK	MIR370		DDX46	APIP	ZNF215	LOC101929450			CFAP157				SKIV2L	TAS2R42			PRKAG3		RARRES1		PDZD3	OR5L2		ADAMTSL2	
											MIR548AC				PQLC2						MIR9-2	LOC102723831						ARIH1	MIR376A1		SLC23A1	TMX2	RASSF7	LOC101929470			LCN12				SMPD2	DPPA3			PPIL3		RASA2		C11orf63	OR5E1P		RGP1	
											MIR2682				CASZ1						FLJ31104	LOC102724053						SIN3A	MIR377		GNPDA1	HSD17B12	CSRP3	LOC101929550			C9orf142				SNRPC	NANOGNB			DNAJC10		RBP1		CCDC15	OR10A3		TRIM14	
											DPYD-AS1				TRNAU1AP						LOC441081	LOC102724152						TMEM87A	MIR379		SRA1	TMEM216	PDHX	LOC101929622			TPRN				SRF	LOC374443			ASNSD1		RBP2		PDGFD	TIMM10B		MELK	
											DPYD-AS2				AIM1L						LOC441086	LOC102724357						ULK3	MIR380		EDIL3	SLC15A3	FOSL1	LOC101929897			FAM78A				SRPK1	CLEC2A			UGT1A10		RFC4		TMPRSS5	ELP4		RUSC2	
											VAV3-AS1				TMEM51						CRSP8P	LOC102724511						RPAP1	MIR381		COL4A3BP	PHF21A	BBOX1	MIR6841			QRFP				ELOVL4	CLEC12B			UGT1A8		RHO		PUS3	SNORD14A		ZBTB5	
											KCNC4-AS1				BSDC1						NR2F1-AS1	LOC103352541						GLCE	MIR382		RAD50	MS4A4A	PPFIBP2	MIR6842			GLT6D1				TAF11	RPL13AP20			UGT1A7		SNORA63		JAM3	DKK3		TNFSF15	
											KCND3-AS1				XKR8						GPX8	LOC105378047						DKFZP434L187	MIR433		KIF20A	WT1-AS	SLC43A1	MIR6843			SWI5				MAP3K7	LINC00937			UGT1A6		SNORA62		BCO2	RBMXL2		PTBP3	
											KCND3-IT1				TMEM39B						RGMB-AS1	LOC105378052						PYGO1	MIR431		G3BP1	TRMT112	IFITM1	MIR6876			C9orf50				TAP1	LOC400002			UGT1A5		ROBO1		TMEM133	PGAP2		GNE	
											LOC100996251				ARHGEF10L						MIR449A	LOC105378068						BLOC1S6	MIR329-1		LHFPL2	TMEM138	DGKZ	MIR486-2			PNPLA7				TAP2	MIR141			UGT1A9		ROBO2		TMPRSS13	COMMD9		SH2D3C	
											LOC100996630				VPS13D						LOC642366	LOC105378098						FBXO22	MIR329-2		CWC27	WDR74	CHST1	MIR7641-2			CYSRT1				TAPBP	MIR200C			UGT1A4		RPL15		DCUN1D5	C11orf21		TOPORS	
											LOC100996635				TMEM57						SMIM15	MEAT6						GREM1	MIR323B		APBB3	TRIM44	API5	LOC102467222			ENTPD8				TBCC	ZNF705A			UGT1A1		RPL24		MSANTD4	PACSIN3		RABEPK	
											LINC01356				CAMK2N1						LOC644285	LOC105378123						RNU6-1	MIR409		TNIP1	MS4A12	MADD	LOC102723701			PTGES2-AS1				TCF19	FAM66C			UGT1A3		RPL29		MAML2	TRPM5		SIGMAR1	
											LAMTOR5-AS1				ASAP3						LOC644936	LOC105378127						RNU5A-1	MIR412		NSA2	MRPL16	OR6A2	LOC102723729			IER5L				TCF21	DDX12P			FEV		RPL32		KIRREL3	UBQLN3		LAMC3	
											LINC01057				PNRC2						LINC00461	LOC105378137						RNU5B-1	MIR410		SLU7	SDHAF2	DCHS1	LINC01288			CFAP77				TCP11	SMCO3			MFSD6		RPL35A		BUD13	RNF141		OLFM1	
											LOC101928098				PIGV						LOC647859	LOC105378146						NPTN	MIR376B		POLR3G	TMEM132A	EIF3F	LOC105379393			LCN15				PPP1R11	LOH12CR2			INO80D		RPN1		TMEM25	APIP		ZER1	
											LOC101928118				NBPF1						GUSBP3	LUADT1						FOXB1	MIR485		IQGAP2	HRASLS2	RPS6KA4				C9orf172				TEAD3	POU5F1P3			PID1		RYK		RPUSD4	HSD17B12		CREB3	
											LOC101928241				NECAP2						GTF2H2B	SNORA98						RPUSD2	MIR493		SEC24A	VPS37C	BRSK2				LRRC26				TFAP2B	LOC642846			ATG16L1		SATB1		TBRG1	IGF2-AS		UNC13B	
											LOC101928270				IQCC						SCARNA18							TUBGCP4	MIR432		FAXDC2	NAT10	SYT7				TMEM8C				NR2E1	FAM86FP			ANKZF1		ATXN7		UBASH3B	BET1L		SEMA4D	
											LOC101928370				RCC2						SNORA47							SCG3	MIR494		FAM114A2	SLC35C1	SLC6A5				LCN9				TNF	PRB2			USP40		SCN5A		C11orf70	CEND1		ANP32B	
											LOC101928436				TMEM234						MIR449B							TMOD3	MIR495		BRD8	TCP11L1	FIBP				FAM102A				TNFAIP3	SCARNA12			HJURP		SCN10A		SNORD14C	PHF21A		SPTLC1	
											LOC101928476				MTFR1L						MIR581							TMOD2	MIR496		TCERG1	CDC42BPG	MTA2				CCDC187				TNXA	SCARNA11			STRADB		SEC13		SNORD14D	WT1-AS		POMT1	
											LOC101928718				CTNNBIP1						MIR582							EHD4	MIR487A		HNRNPA0	OTUB1	UBE2L6				LOC401554				TNXB	CD27-AS1			HES6		SEMA3F		SNORD14E	CYB5R2		SMC2	
											HIPK1-AS1				RSRP1						MIR583							SCAPER	RD3L		SPINK5	AMBRA1	SNORD29				LOC401557				TPBG	SCARNA10			ASIC4		SETMAR		DIXDC1	TRIM34		ZBTB6	
											LOC101928977				AGTRAP						GTF2H2C							DUOX2	TEX22		SMA4	KBTBD4	SNORD31				LINC01451				TPD52L1	MIR613			DOCK10		TRA2B		CEP295	CDHR5		NEK6	
											LOC101928995				PITHD1						SERF1B							MYEF2	MIR539		SMA5	TTC17	SNORD30				LCNL1				CRISP2	MIR614			MREG		SHOX2		ZC3H12C	TOLLIP		CCL27	
											LOC101929023				MAN1C1						ZBED3-AS1							RPS27L	MIR544A		SOX30	SLC22A11	SNORD28				C9orf139				TSPYL1	SKP1P2			WDR12		SI		GLB1L2	ZDHHC13		USP20	
											LOC101929099				NIPAL3						SCAMP1-AS1							NDUFAF1	MIR376A2		KIF3A	GPR137	SNORD27				FAM166A				TTK	SLC15A5			PECR		SIAH2		ESAM	TRIM44		ACTL7B	
											MIR7852				SEPN1						ANKDD1B							RSL24D1	MIR487B		ADAMTS6	PRDM11	SNORD26				SOHLH1				TULP1	THCAT155			ZC3H15		ST6GAL1		ALKBH8	USP47		ACTL7A	
											LOC102606465				DISP3						GTF2H2C_2							NUSAP1	SCARNA13		SYNPO	SCYL1	SNORD25				MIR126				UTRN	SMIM10L1			DNAH7		SKIL		FDXACB1	TRIM68		GADD45G	
											LOC102723661				KIF17						LOC731157							EMC4	SNORA28		RHOBTB3	SYT13	SNORD22				MIR199B				VARS	RNU7-1			C2orf83		SLC2A2		C11orf52	NAT10		SPIN1	
											LINC01397				KIAA1522						GUSBP9							RASL12	SNORA79		ABLIM3	LRRC4C	SLC22A6				MIR219A2				VEGFA	MIR1244-1			MFF		SLC6A1		VPS26B	UEVLD		SEC61B	
											LINC01307				GRHL3						ARRDC3-AS1							SPG21	SNORD112		ELL2	MS4A7	SLC22A8				COL5A1-AS1				VIP	MIR1244-3			ACKR3		SLC6A6		GLB1L3	LIN7C		SLC27A4	
											LINC01525				IL22RA1						LRRC70							SPTBN5	MIR411		SV2C	ALX4	NRXN2				C9orf106				ZNF76	MIR1244-2			RNPEPL1		SLC6A11		TIRAP	SLC35C1		SLC35D2	
															MIIP						CKMT2-AS1							HACD3	MIR654		HMGXB3	FAM111A	LPXN				LCN10				ZNF165	KLRF2			SLC39A10		SLC15A2		CARD16	TCP11L1		CNTRL	
															CELA2A						FAM159B							CTDSPL2	MIR655		ARHGAP26	MS4A6A	PEX16				STPG3				TRIM26	LINC00987			CYP20A1		SLCO2A1		C1QTNF5	LGR4		WDR5	
															GPATCH3						LOC100133050							KLF13	MIR656		FSTL4	MS4A5	FADS2				NRARP				ZSCAN26	LOC100506159			HECW2		HLTF		TMEM123	PIDD1		SPACA9	
															TINAGL1						LOC100287592							RAB8B	LOC730202		MRPS27	TUT1	MAPK8IP1				FAM163B				ZKSCAN8	LOC100506314			MARCH4		SMARCC1		PANX3	KCNQ1DN		ADAMTS13	
															PLA2G2F						LOC100289230							DUOX1	SNORD113-1		ATP10B	C11orf95	TP53I11				EHMT1-IT1				ZSCAN9	LOC100506393			WDFY1		SOX2		APOA5	SOX6		CACFD1	
															CEP85						MIR548P							CSNK1G1	SNORD113-2		SEPT8	AHNAK	MICAL2				TUBBP5				PTP4A1	LOC100507424			NYAP2		SSR3		SLC36A4	AMBRA1		SLC2A6	
															NMNAT1						NCRUPAR							ZFAND6	SNORD113-3		PPIP5K2	PRRG4	CTR9				RNF224				PRRC2A	KLRC4-KLRK1			ALS2		SST		FAT3	KBTBD4		PTENP1	
															PINK1						LOC100303749							MAGEL2	SNORD113-4		ACSL6	TMEM223	ATG13				SNORA17A				BAG6	PRH1-PRR4			ZDBF2		STAC		TRIM64	PARVA		AKAP2	
															MARCKSL1						MIR2277							DLL4	SNORD113-5		JADE2	TMEM109	CKAP5				SNORA17B				GPANK1	MIR3974			USP37		NEK4		TMEM45B	TTC17		RPL35	
															PRAMEF1						MIR449C							INO80	SNORD113-6		LARP1	CCDC86	TRIM66				MIR602				DDX39B	CACNA1C-AS1			CTDSP1		SYN2		COLCA2	MMP26		DCTN3	
															PRAMEF2						MIR4280							FAM63B	SNORD113-7		PPWD1	LBHD1	NAALADL1				RNF208				ABHD16A	RERG-AS1			MPP4		TCTA		PIH1D2	AKIP1		FRMPD1	
															PHACTR4						MTRNR2L2							RNF111	SNORD113-8		HARS2	C11orf49	NR1H3				DNLZ				SLC39A7	CACNA1C-AS2			NIF3L1		TDGF1		NXPE1	C11orf16		DOLK	
															AUNIP						MIR3607							ZNF280D	SNORD113-9		OTP	TRIM48	TSPAN32				LOC100128593				HSD17B8	LOC101927905			PCGEM1		TERC		NXPE2	TMEM9B		ZNF510	
															CCDC28B						MIR3660							TRPM7	SNORD114-1		SSBP2	ZNF408	TSSC4				STPG3-AS1				OR2H2	LOC101928030			GAL3ST2		TF		JAML	NRIP3		HABP4	
															EFHD2						LOC100505878							VPS13C	SNORD114-2		BHMT2	NAA40	USH1C				LOC100130548				NELFE	LOC101928100			TMBIM1		TFDP2		FAM76B	ASCL3		PTGR1	
															RSG1						TMEM161B-AS1							LRRC49	SNORD114-3		TNFAIP8	QSER1	KCNK7				LINC01502				LST1	LOC101928162			OSGEPL1		TFRC		SESN3	PRDM11		TRIM32	
															NKAIN1						LUCAT1							PAQR5	SNORD114-4		GEMIN5	AGBL2	HIPK3				CCDC183-AS1				PLA2G7	PLBD1-AS1			RAB17		TGM4		PIWIL4	CHRNA10		FNBP1	
															MUL1						LOC100506526							PPP1R14D	SNORD114-5		PCDHGA12	ZBTB3	PRMT3				FAM157B				TFEB	LINC01489			RNF25		TGFBR2		ARHGAP42	SLC17A6		SETX	
															LIN28A						OCLN							DPP8	SNORD114-6		LRRTM2	CPSF7	RASGRP2				LOC100133077				RNF217-AS1	LOC101929549			COPS7B		THPO		KBTBD3	PNPLA2		ERP44	
															AGMAT						MIR4804							MTMR10	SNORD114-7		FAM169A	PRR5L	GLYAT				RNU6ATAC				EPM2A	LOC101929584			NABP1		THRB		CWF19L2	SYT13		ZBTB43	
															FAM110D						MIR4459							RPP25	SNORD114-8		CCDC69	ASRGL1	RTN3				LOC100272217				HIST1H2AI	LOC101930452			RAPH1		TIMP4		KDELC2	PHRF1		SMC5	
															DHDDS						MIR3977							COMMD4	SNORD114-9		PCDHB5	MUS81	MRVI1				SLC25A25-AS1				HIST1H2AK	MIR7641-2			CDK15		TKT		LAYN	LRRC4C		FAM120A	
															GPR157						MIR548AE2							PARP16	SNORD114-10		FBXL21	INTS5	TRIM22				MAN1B1-AS1				HIST1H2AJ	LOC102724020			TMEM237		SEC62		TTC36	SCUBE2		VPS13A	
															SPSB1						MIR4803							TIPIN	SNORD114-11		KLHL3	ZFP91	PRG3				MIR1268A				HIST1H2AL	CCND2-AS1			NBEAL1		TM4SF4		AMOTL1	ZBED5		ASTN2	
															ZNF436						MIR5687							CLN6	SNORD114-12		HAVCR1	OR8J3	IFITM3				MIR4292				HIST1H2AM	LOC105369632			CFLAR-AS1		TMF1		DEUP1	SIGIRR		AGTPBP1	
															TAS1R2						LINCR-0003							ZNF770	SNORD114-13		SNORD63	OR4P4	SPON1				MIR3154				HIST1H2BL	LOC105369635			MRPL44		CLEC3B		PATE1	ALX4		BICD2	
															SYNC						IPO11-LRRC70							ZWILCH	SNORD114-14		SNORA74A	OR4C15	CDC42EP2				MIR2861				HIST1H2BN	PRH1-TAS2R14			TRAK2		TNNC1		C11orf65	RIC8A		FKBP15	
															ACTL8						C5orf67							FLJ10038	SNORD114-15		CYFIP2	OR4A5	EIF3M				MIR3621				HIST1H2BM				BOLL		TOP2B		ADAMTS15	MRPL17		PHF24	
															TSSK3						LOC101928505							UACA	SNORD114-16		PKD2L2	OR4A16	NXF1				MIR3689A				HIST1H2BO				TRPM8		NR2C2		MPZL3	ANO3		KIAA0368	
															SH3BGRL3						LOC101928539							HAUS2	SNORD114-17		UQCRQ	OR4A15	DEAF1				MIR3911				HIST1H3I				ATG9A		TRH		C11orf45	EPS8L2		EXOSC2	
															SESN2						LOC101928569							RMDN3	SNORD114-18		AFF4	OR10W1	KAT5				MIR3689B				HIST1H3J				MLPH		TRPC1		HYLS1	STK33		NCS1	
															TMEM222						LOC101928600							DNAJC17	SNORD114-19		IL17B	OR10V2P	IPO7				TMEM210				HIST1H3H				FAM134A		UBA7		TMEM218	CHID1		TDRD7	
															USP48						CTC-436P18.1							IMP3	SNORD114-20		MAT2B	MS4A8	SSSCA1				LOC100506100				HIST1H4K				GLB1L		UBE2E1		SLC37A2	PRRG4		SLC44A1	
															NBPF3						LOC101928651							LARP6	SNORD114-21		SLC27A6	FERMT3	HTATIP2				LINC01503				HIST1H4J				C2orf47		UBE2E2		OR8B12	C11orf49		ANGPTL2	
															ZDHHC18						LOC101928769							MNS1	SNORD114-22		SNX24	TRPT1	IFITM2				LINC00963				HIST1H4L				SPAG16		UBP1		OR8G5	TRIM48		NUP188	
															SLC25A33						LOC101928794							DNAJA4	SNORD114-23		MRPL22	FRMD8	DRAP1				PPP1R26-AS1				STX7				CHPF		UPK1B		OR10G8	OR51G1		CDK20	
															DDI2						LOC101928858							NOP10	SNORD114-24		PCDHB1	RNASEH2C	TRIM3				MIR3689D1				DHX16				IQCA1		UMPS		OR10G9	OR51B4		DDX58	
															LZIC						LOC101928885							GOLGA6B	SNORD114-25		DMGDH	NUDT22	TAF6L				MIR3689F				SUPT3H				CARF		USP4		OR10S1	OR51B2		RABGAP1	
															TRIM63						LOC101928924							MYO5C	SNORD114-26		TMED7	ARFGAP2	SCGB1D2				MIR4669				PEX3				NHEJ1		UQCRC1		OR6T1	OR52N1		TMEM2	
															FAM167B						LINC01333							NSMCE3	SNORD114-27		ISOC1	SYVN1	SCGB1D1				MIR4673				GCM1				FAM124B		CLRN1		OR4D5	RIC3		TMEM245	
															CROCCP2						LOC101929109							FAM214A	SNORD114-28		SAR1B	ACCS	CELF1				MIR3960				DDO				TM4SF20		VHL		TBCEL	E2F8		FRRS1L	
															SYTL1						LOC101929154							EMC7	SNORD114-29		DCTN4	MS4A14	OR5I1				MIR4674				KCNK5				C2orf54		VIPR1		TMEM136	SLC25A22		CIZ1	
															IGSF21						CTD-2201I18.1							C15orf39	SNORD114-30		MZB1	TRIM51	OR7E14P				MIR3689C				STX11				PGAP1		WNT5A		SPATA19	ZNF408		DNAJB5	
															SNHG12						LOC101929380							THAP10	SNORD114-31		PAIP2	LGALS12	OR7E12P				MIR219B				B3GALT4				TUBA4B		WNT7A		HEPACAM	QSER1		DCAF12	
															KIAA2013						MEF2C-AS1							PAK6	MIR758		CDKL3	TNKS1BP1	LYVE1				MIR3689D2				SNX3				ARMC9		XPC		OAF	AGBL2		WHRN	
															STPG1						LINC01339							PARP6	MIR668		PCDH12	TSPAN18	EHD1				MIR4672				RNGTT				COQ10B		ZIC1		ANGPTL5	PRR5L		NIPSNAP3A	
															SPOCD1						LOC101929710							DTWD1	MIR770		GCNT4	CREB3L1	C11orf58				MIR3689E				CD164				EFHD1		CNBP		ANKK1	PGGHG		GAPVD1	
															UBXN11						AK6							KNL1	SNORA11B		FAM13B	AP5B1	STIP1				MIR4479				SYNGAP1				SPHKAP		ZNF35		RNF214	OR8J3		RALGAPA1P1	
															C1orf158						LOC102467080							AVEN	MIR300		FAM53C	SLC39A13	CLP1				MIR548AW				WISP3				WNT10A		ZNF80		LOC283140	OR51G2		PHF19	
